Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
105643,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,197.00,1764,1636,1500,1500
106565,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085243,-121.8796691,202.00,1738,1662,1500,1500
106642,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,203.00,1732,1668,1500,1500
107570,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,209.00,1701,1699,1500,1500
107645,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,209.00,1700,1700,1500,1500
108566,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,208.00,1704,1696,1500,1500
108642,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,208.00,1703,1697,1500,1500
109562,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8796691,210.00,1692,1708,1500,1500
109638,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085319,-121.8796691,210.00,1691,1709,1500,1500
110566,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085319,-121.8796691,212.00,1680,1720,1500,1500
110642,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085357,-121.8796691,212.00,1678,1722,1500,1500
111561,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085357,-121.8796691,217.00,1651,1749,1500,1500
111636,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085357,-121.8796539,218.00,1645,1755,1500,1500
112561,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085357,-121.8796539,214.00,1663,1737,1500,1500
112637,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,214.00,1662,1738,1500,1500
113567,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,215.00,1655,1745,1500,1500
113642,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,215.00,1654,1746,1500,1500
114567,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,222.00,1617,1783,1500,1500
114641,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,222.00,1615,1785,1500,1500
115565,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085395,-121.8796539,220.00,1623,1777,1500,1500
115640,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,220.00,1621,1779,1500,1500
116566,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,217.00,1635,1765,1500,1500
116640,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,218.00,1628,1772,1500,1500
117556,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,221.00,1611,1789,1500,1500
117630,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,221.00,1609,1791,1500,1500
118555,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,219.00,1617,1783,1500,1500
118632,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,219.00,1616,1784,1500,1500
119563,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,219.00,1614,1786,1500,1500
119636,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,219.00,1612,1788,1500,1500
120560,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,219.00,1610,1790,1500,1500
120637,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,218.00,1614,1786,1500,1500
121558,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,214.00,1632,1768,1500,1500
121633,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,214.00,1631,1769,1500,1500
122558,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085472,-121.8796539,217.00,1614,1786,1500,1500
122635,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,217.00,1612,1788,1500,1500
123550,1,-99.0000000,-99.0000000,14989643.00,184.00,36.6085433,-121.8796539,217.00,1611,1789,1500,1500
