Orientation, FL, FR, DL, DR
46.00,1500,1500,1800,1800
46.38,1500,1500,1800,1800
45.00,1500,1500,1800,1800
42.06,1500,1500,1800,1800
37.69,1500,1500,1800,1800
33.56,1500,1500,1800,1800
29.69,1500,1500,1800,1800
27.25,1500,1500,1800,1800
26.19,1500,1500,1800,1800
27.19,1500,1500,1800,1800
28.69,1500,1500,1800,1800
30.87,1500,1500,1800,1800
32.94,1500,1500,1800,1800
35.31,1500,1500,1800,1800
37.38,1500,1500,1800,1800
39.31,1500,1500,1800,1800
41.25,1500,1500,1800,1800
42.94,1500,1500,1800,1800
44.81,1500,1500,1800,1800
47.38,1500,1500,1800,1800
49.56,1500,1500,1800,1800
51.63,1500,1500,1800,1800
53.75,1500,1500,1800,1800
55.75,1500,1500,1800,1800
57.81,1500,1500,1800,1800
59.63,1500,1500,1800,1800
61.19,1500,1500,1800,1800
63.25,1500,1500,1800,1800
65.44,1500,1500,1800,1800
67.62,1500,1500,1800,1800
69.56,1500,1500,1800,1800
71.25,1500,1500,1800,1800
73.25,1500,1500,1800,1800
75.00,1500,1500,1800,1800
77.25,1500,1500,1800,1800
79.56,1500,1500,1800,1800
80.50,1500,1500,1800,1800
81.62,1500,1500,1800,1800
84.37,1500,1500,1800,1800
87.87,1500,1500,1800,1800
91.12,1500,1500,1800,1800
94.37,1500,1500,1800,1800
98.25,1500,1500,1800,1800
101.75,1500,1500,1800,1800
105.37,1500,1500,1800,1800
